ID,Exchange,RemoteName,CLLIcode,Description
2036,UPTN,RT UPTN-ACRD ARCH CREEK RD,UPTN-ACRD,UPTN-ACRD
2037,UPTN,RT UPTN-SODA SODA BUTTE,UPTN-SODA,UPTN-SODA
2038,UPTN,RT UPTN-GBVL GERBERVILLE,UPTN-GBVL,UPTN-GBVL
2039,UPTN,RT UPTN-FIDL FIDDLE CREEK,UPTN-FIDL,UPTN-FIDL
2040,UPTN,RT UPTN-RVCR RAVEN CREEK RD,UPTN-RVCR,UPTN-RVCR
2043,MRCR,RT MRCR-BRTH BERTHA RD,MRCR-BRTH,MRCR-BRTH
2045,UPTN,RT UPTN UPTON,UPTN,UPTN-CO
2246,BAGGS,DAD HUT,BGGSWYXCDS0,BGGS_WY_DAD_HUT
2248,BAGGS,SAVERY,BGGSWYXCDS0,BGGS_WY_SAVERY_HUT
2249,BAGGS,GOLDBLOSSOM,BGGSWYXCDS0,GBLM SAI CABINET
2250,BAGGS,THREE FORKS,BGGSWYXCDS0,TFKS SAI CABINET
2251,BAGGS,MCKEE,BGGSWYXCDS0,MKEE SAI CABINET
2252,BAGGS,OLD SCHOOL,BGGSWYXCDS0,OSCH SAI CABINET
2253,BAGGS,NORTH BAGGS,BGGSWYXCDS0,NBAG CABINET
2254,BAGGS,WEBER MESA,BGGSWYXCDS0,WBRM SAI CABINET
2255,BAGGS,SHEEHAN LANE,BGGSWYXCDS0,SHNL SAI PON CABINET
2256,BAGGS,BAGGS,BGGSWYXCDS0,BAGGS CO
2257,BAGGS,SLATER,BGGSWYXCDS0,SLTR SAI CABINET
2258,BAGGS,POISON BUTTES,BGGSWYXCDS0,BGGS_WY_BAGGS_GARAGE POSN
2259,BAGGS,O'TOOLE,BGGSWYXCDS0,OTOL SAI H-BRACE
2260,BAGGS,IMTS,BGGSWYXCDS0,IMTS HUT
2271,ALBIN,RT ALBN ALBIN,ALBN,ALBN-CO
2307,,ELEMENT NOT FOUND,SHOSHONI CO,CENTRALOFFICE-2307
2512,HLTT,RT HLTT-ALZD ALZADA,HLTT-ALZD,HLTT-ALZD
2513,HLTT,RT HLTT-MONA MONA RD,HLTT-MONA,HLTT-MONA
2514,HLTT,RT HLTT-GLDD GOLDIE DIVIDE,HLTT-GLDD,HLTT-GLDD
2515,HLTT,RT HLTT-LTLM LITTLE MISSOURI,HLTT-LTLM,HLTT-LTLM
2516,HLTT,RT HLTT-NWHV NEW HAVEN,HLTT-NWHV,HLTT-NWHV
2517,HLTT,RT HLTT-SHLN SHADY LN,HLTT-SHLN,HLTT-SHLN
2518,HLTT,RT HLTT-BRCY BARLOW CANYON,HLTT-BRCY,HLTT-BRCY
2519,HLTT,RT HLTT-DVLT DEVILS TOWER,HLTT-DVLT,HLTT-DVLT
2520,HLTT,RT HLTT-DTJC DEVILS TOWER JUNCTION,HLTT-DTJC,HLTT-DTJC
2521,HLTT,RT HLTT-RGSC RIDGE SCHOOL,HLTT-RGSC,HLTT-RGSC
2522,HLTT,RT HLTT-RKPT ROCKY POINT,HLTT-RKPT,HLTT-RKPT
2523,HLTT,RT HLTT-RDGE RIDGE HUT,HLTT-RDGE,HLTT-RDGE
2524,MDWS,RT MDWS-IBLN IBERLAN RANCH,MDWS-IBLN,MDWS-IBLN
2525,MDWS,RT MDWS-EGTN EDGERTON,MDWS-EGTN,MDWS-EGTN
2526,MDWS,RT MDWS-NARE NAVAL RESERVE,MDWS-NARE,MDWS-NARE
2527,MDWS,RT MDWS-LNCH LINCH HUT,MDWS-LNCH,MDWS-LNCH
2528,MDWS,RT MDWS MIDWEST,MDWS,MDWS-CO
2529,NWCS,RT NWCS-BKHN BUCKHORN,NWCS-BKHN,NWCS-BKHN
2530,NWCS,RT NWCS-SGVR SOUTH GRIEVES RD,NWCS-SGVR,NWCS-SGVR
2531,NWCS,RT NWCS-CYRD CHEYENNE RIVER RD,NWCS-CYRD,NWCS-CYRD
2532,NWCS,RT NWCS-MALO MALLO RD,NWCS-MALO,NWCS-MALO
2533,NWCS,RT NWCS-FCNR FOUR CORNERS HUT,NWCS-FCNR,NWCS-FCNR
2534,NWCS,RT NWCS-BRNK BREAKNECK,NWCS-BRNK,NWCS-BRNK
2535,NWCS,RT NWCS-RGLN RAGLAND,NWCS-RGLN,NWCS-RGLN
2536,NWCS,RT NWCS-FDRD FOX DRAW RD,NWCS-FDRD,NWCS-FDRD
2537,NWCS,104 X BOX,WRLDWYXCDS0,NWCS-104
2538,NWCS,RT NWCS-CNTR CENTER,NWCS-CNTR,NWCS-CNTR
2539,NWCS,RT NWCS-MRRS MORRISSEY,NWCS-MRRS,NWCS-MRRS
2540,NWCS,Newcastle,NWCSWYXC,NWCS-CO
2541,NWCS,RT NWCS-SALM SALEM,NWCS-SALM,NWCS-SALM
2542,NWCS,RT NWCS-SCRD SALT CREEK RD,NWCS-SCRD,NWCS-SCRD
2543,NWCS,CHRS,NWCSWYXCDS0,NWCS-CHRS
2544,NWCS,RT NWCS-WMSC WEST MUSH CREEK,NWCS-WMSC,NWCS-WMSC
